股票代號,股票,淨賣超,收盤價,漲跌%,成交量,當日,累計15日
2613,中櫃,-87,"-2,592",25.2,(-0.59%),711
6015,宏遠證,-87,170,10.9,(-0.46%),405
6890,來億-KY,-87,435,234.5,(-1.05%),531
2106,建大,-86,"-1,407",20.05,(-1.23%),286
8454,富邦媒,-85,-694,234.5,(-0.64%),222
3372,典範,-84,-1,18.05,(-2.43%),841
6111,大宇資,-84,-159,49.85,(-0.5%),433
7738,東聯互動,-84,-88,201,(-4.51%),403
5234,達興材料,-83,"-1,756",360,(-0.55%),"1,043"
2736,富野,-82,-204,15.85,(0%),872
3036,文曄甲特,-82,-469,51,(0%),499
3004,豐達科,-82,357,120.5,(0%),410
3324,雙鴻,-81,"1,130",979,(1.14%),"4,839"
2015,豐興,-80,-140,63.9,(-0.62%),361
1313,聯成,-77,"3,221",10.3,(-1.44%),"1,485"
2017,官田鋼,-77,-370,9,(-0.88%),625
4961,天鈺,-76,-830,157.5,(-0.32%),670
6244,茂迪,-76,-766,16.85,(0%),876
3024,憶聲,-75,"-3,409",11.95,(0%),627
6016,康和證,-75,"-1,928",12.75,(0%),659
2342,茂矽,-74,"-2,161",31.7,(1.93%),"3,943"
2431,聯昌,-74,-870,13.2,(4.76%),"1,790"
9939,宏全,-74,"-2,449",129.5,(0.78%),"1,069"
8105,凌巨,-74,"-3,407",12.25,(-0.41%),"1,009"
5498,凱崴,-73,"-1,929",19.6,(4.53%),"4,663"
5904,寶雅,-72,-629,441.5,(0.34%),191
6592,和潤企業,-72,-702,64.4,(-1.38%),273
6841,長佳智能,-72,"-1,395",66.7,(-1.04%),203
6526,達發,-71,-484,506,(0.2%),310
1440,南紡,-69,"-1,870",12.85,(0%),414
1809,中釉,-69,-979,18.8,(-1.31%),587
6669,緯穎,-69,819,3880,(2.51%),"1,472"
1717,長興,-68,"5,090",38.55,(-1.28%),"5,102"
1519,華城,-67,-456,589,(-1.01%),"2,672"
7610,聯友金屬-創,-67,-732,103.5,(-2.36%),335
3090,日電貿,-66,"1,723",81.1,(3.05%),"14,412"
4164,承業醫,-66,"-1,964",43.9,(-1.35%),652
8935,邦泰,-66,"-1,280",21.15,(-0.47%),430
1736,喬山,-65,-766,160,(0.95%),357
1907,永豐餘,-65,"1,301",25.85,(-1.34%),609
2108,南帝,-64,-772,23.25,(-1.06%),510
2429,銘旺科,-64,"-5,858",105.5,(-3.65%),"1,025"
3048,益登,-64,"-1,336",35.2,(-0.28%),"1,806"
9902,台火,-64,"-1,316",15.3,(0%),412
6189,豐藝,-64,"-1,120",47.95,(-1.34%),425
2231,為升,-63,247,112,(-1.75%),507
9938,百和,-63,573,58.2,(-0.34%),978
4133,亞諾法,-61,-73,25.1,(-2.14%),270
2534,宏盛,-61,-448,21.45,(-0.69%),480
2611,志信,-61,-756,15.25,(-0.65%),401
3402,漢科,-60,"-3,143",124,(0%),602
6456,GIS-KY,-60,"-1,149",52,(0.39%),829
6885,全福生技,-60,-186,32.5,(-1.52%),405
